OrderID,ProductID
5136017,6
5134854,36
5134882,21
5134784,12
5133801,34
5133023,19
5131892,15
5129535,14
5128956,12
5128887,31
5127900,27
5127870,40
5127651,13
5123225,14
5121811,14
5121435,15
5120761,24
5117825,10
5117125,14
5116556,35
5116507,27
5116451,23
5116197,44
5114787,15
5114384,26
5113958,43
5107837,37
5105397,8
5105083,37
5103120,19
5102811,21
5102672,26
5100299,29
5098766,14
5097955,13
5097317,19
5096618,40
5096387,32
5096357,16
5096289,28
5096046,43
5095970,14
5095235,21
5091132,22
5091048,29
5090799,19
5090617,14
5090411,14
5089461,26
5088474,15
5088184,13
5087157,22
5086325,15
5083658,6
5083677,44
5082390,11
5082071,14
5080869,22
5080177,4
5079246,1
5078198,21
5077891,4
5077231,6
5077241,25
5077060,3
5076115,38
5074378,22
5072497,14
5072072,43
5071335,14
5070216,15
5068370,42
5066520,25
5066522,3
5065365,29
5063795,29
5063530,27
5060703,42
5060524,42
5058761,1
5058704,22
5057905,40
5057131,5
5057069,19
5056987,10
5055132,41
5055022,14
5053609,20
5053175,39
5052213,2
5051195,1
5048484,24
5046163,14
5045261,2
5041070,21
5038849,24
5038821,44
5037741,14
5037746,11
5037492,10
5036884,19
5036482,35
5034036,12
5033878,39
5030494,19
5030426,23
5029426,14
5029386,14
5026945,27
5026813,11
5026546,5
5026286,27
5024713,41
5024698,17
5023874,34
5136017,6
5134854,36
5134882,21
5134784,12
5133801,34
5133023,19
5131892,15
5129535,14
5128956,12
5128887,31
5127900,27
5127870,40
5127651,13
5123225,14
5121811,14
5121435,15
5120761,24
5117825,10
5117125,14
5116556,35
5116507,27
5116451,23
5116197,44
5136154,19
5135056,30
5132314,14
5132087,15
5131921,30
5130946,15
5130222,8
5129413,38
5129054,14
5128196,6
5127489,39
5127018,39
5126819,37
